date,ticker,mom_1m,mom_3m,momentum_score
2026-03-02,TSLA,-0.031784,-0.054527,-0.777188
2026-03-03,NKE,-0.032775,-0.069072,-0.586401
2026-03-03,TGT,0.156998,0.346597,1.574426
2026-03-03,DIS,-0.08422,-0.004509,-0.539585
2026-03-03,SBUX,0.058222,0.117018,0.402524
2026-03-03,TSLA,-0.088241,-0.087733,-0.850964
2026-03-04,NKE,-0.050672,-0.097274,-0.901731
2026-03-04,TGT,0.107471,0.327728,1.468824
2026-03-04,DIS,-0.013499,-0.028405,-0.470659
2026-03-04,SBUX,0.066381,0.151531,0.585529
2026-03-04,TSLA,-0.037624,-0.056261,-0.681963
2026-03-05,NKE,-0.041439,-0.100491,-0.90028
2026-03-05,TGT,0.0924,0.343916,1.44578
2026-03-05,DIS,-0.017367,-0.016475,-0.461746
2026-03-05,SBUX,0.067567,0.165803,0.62239
2026-03-05,TSLA,-0.03889,-0.055191,-0.706144
2026-03-06,NKE,-0.106378,-0.125843,-0.98669
2026-03-06,TGT,0.069118,0.342042,1.470661
2026-03-06,DIS,-0.051471,-0.033223,-0.423221
2026-03-06,SBUX,0.027414,0.143708,0.553851
2026-03-06,TSLA,-0.022857,-0.111944,-0.6146
2026-03-09,NKE,-0.092421,-0.133731,-1.026695
2026-03-09,TGT,0.09483,0.325056,1.39276
2026-03-09,DIS,-0.031533,-0.029603,-0.408697
2026-03-09,SBUX,0.045211,0.181334,0.668686
2026-03-09,TSLA,0.003701,-0.122874,-0.626054
2026-03-10,NKE,-0.11683,-0.142845,-1.029068
2026-03-10,TGT,0.055543,0.323006,1.354102
2026-03-10,DIS,-0.067893,-0.031287,-0.42977
2026-03-10,SBUX,0.019808,0.191493,0.729583
2026-03-10,TSLA,-0.028873,-0.122549,-0.624847
2026-03-11,NKE,-0.101591,-0.117568,-1.024844
2026-03-11,TGT,0.038678,0.289362,1.217251
2026-03-11,DIS,-0.058247,-0.05628,-0.596122
2026-03-11,SBUX,0.031463,0.224004,0.91989
2026-03-11,TSLA,-0.022764,-0.072251,-0.516175
2026-03-12,NKE,-0.135639,-0.139598,-0.980094
2026-03-12,TGT,0.032652,0.248956,1.122776
2026-03-12,DIS,-0.095762,-0.064635,-0.546413
2026-03-12,SBUX,0.033795,0.225402,1.038144
